movie_id,title,year,text
3369201,Animals,2008,"In Reno, Vic and Nora form an unusual couple of predators between human and animals that feed of human blood and enjoy having sex. Nora decides to leave Vic and heads to Clayton Valley, where she meets the former football player Jarrett in the bar Jules' Joint. Jarrett was in college with a scholarship, but he had an accident that interrupted his promising career and he had returned to his hometown. His best friend Jules idolizes him and has many pictures and trophies of Jarrett exposed in his bar; the bartender Jane has a secret crush on him. Presently Jarrett has a problem with his chief Vaughn that persecutes him at work. Nora is harassed by Vaughn in the bar, but she refuses his invitation and goes to Jarrett's house; she bites him while they have wild sex. Jarrett feels his senses more accurate but he does not understand what is happening to him. When Vic arrives in town seeking out Nora, Jarrett discovers that Vic is not human while Nora and his friends are jeopardized by the cruel creature."
3371250,Anniversary,2009,"Anniversary is the story of Manuel and Eleanor, a caring elderly couple who help each other deal with the difficulties of old age. But when Eleanor undergoes a tragic and horrible transformation, Manuel must come to terms with a frightening and uncertain future."
3371340,Annotated,2011,"A rare book dealer receives a strange book with a small note that reads only, ""The world must know."" As he attempts to decipher the contents, he finds himself faced with deeper and darker levels of occult knowledge that chips at his sanity."
3371392,Annuncio,2011,"A sadistic strangler is on the loose in Philadelphia; squeezing the life out of beautiful women he meets on the Internet, just to make him feel alive. For all of the victims that are found, many more women remain missing without explanation. The world weighs heavily on him as his impulses drive him to find another woman to help relieve his misery."
3372751,Antfarm Dickhole,2011,"To be honest, Ant-Drew and his best friend Ant-Thony are not exactly hero material. As a matter of fact, they are quite the opposite, as they are constantly bullied any way possible, when all the two friends want is to relax and enjoy a good talk while in nature. Surely, this is not much to ask, however, bullies are everywhere. During one unfortunate incident, the two buddies will be beaten badly deep in the woods next to an ant colony, and as a result, an improbable, yet miraculous symbiosis will begin. Now, Ant-Drew will never need to fear again, as the miniature army in his pants is simply unstoppable, thirsting for revenge."
3372799,Anthology,2008,"We all deal with death in different ways. ANTHOLOGY is 5 separate main characters' unrelated life experiences, each dealing with different emotional states, each presented as vignettes all dealing with the human condition. This film illustrates five examples of how we all can be extremely affected by death in it's many forms, it is the unifying theme of these stories. CLOSURE is the story of a young woman's search for answers surrounding her brother's death. The only person who can give her the truth is the man serving prison for the crime. VENGEANCE is the story of the great lengths someone will go for revenge. A distraught man takes a therapeutic drive across the country while recalling pieces of his tragic past. A couple's relationship and lives are at stake in JEALOUSY. A man discovers his fiancé is cheating on him with one of their childhood friends. Tragedy unfolds as the truth begins to come out, destroying lives. Is something going on beneath the surface? Two friends are bonded by a pact of death in BETRAYAL. One friend keeps his end of a deadly bargain when the other exposes their dark secret. In ACCEPTANCE, constantly stuck in a cross between dreams and reality, a man struggles to sleep on the night before his wife's funeral. This is ANTHOLOGY. Five stories. Five lives. It will all make sense in the end."
3372857,Anthony Samuels,2008,"Anthony Samuels is still recovering from the loss of his wife. He struggles to maintain a normal life for his teenage daughter, Valerie. When his daughter is attacked in their home, Anthony has to deal with potentially losing the most important thing in his life. Again."
3373814,Anxiety,2011,"Katie, a young woman in her twenties, upon hearing grave news of her boyfriend from the police station, comes home to find her roommate, Scarlet, frantic and covered in blood. Before Katie could call the police, Scarlet hears a high pitch screech, then begins to act oddly. At one point, Scarlet seems almost to have an argument with herself. When Katie asks Scarlet what she was talking about, Scarlet says that someone is coming that she cannot control. As Scarlet rushes off to the basement to keep herself from hurting anyone else, Katie follows her to figure out how to help Scarlet, but she was not prepared for what happened in that room."
3374829,Apathy,2011,"Apathy is a character-driven short thriller that chronicles the mind of an apathetic woman whose inner battle is to kill or not to kill. Ava has no feelings of love or hate. In fact she has no feelings at all. The only thing she wants to do is to satisfy her murderous appetite, even if it means having to kill herself."
3374833,Apathy Breeds Contempt,2008,"Blending modern horror tends with current events, 'Apathy Breeds Contempt' introduces an innocent man, stolen away to a basement. There his abductor demands that he confess his sins, even though there are none to reveal. Because of this he will be beaten, tortured and eventually killed. There is only one possible savior for him. The film's audience. So, at every turn, this victim will break the fourth wall and demand that he be saved. But will he?"
3375290,Apocalypse Salad,2011,"The mostest average of average joes, Rob, is on a mission to find the 'Jello' that killed his mom. Joined by a rag-tag group of friends, he will stop at nothing to rid the world if this dreaded onslaught of evil...even if that mission brings them all face to face with an unhealthy serving of armageddon's deadliest appetizers."
3375345,Apocrypha,2011,"Griffith Townsend (Michael Fredianelli) enjoys a successful career as senior editor at the San Francisco Chronicle with only one problem: he is plagued with amnesia. With the help of a washed-up psychologist (Ray Medved), he reluctantly unearths a number of odd habits which can only be described as unnatural and bizarre. Meanwhile, a strange woman, Maggie (Kat Reichmuth), awakens in Golden Gate Park with no recollections of how she arrived. Enlisting the aid of a friendly social worker (William McMichael) and local gypsy (Selenia Mason), she slowly begins to recall her true identity. With an increasing and unexpected desire consuming her, it becomes clear that Griffith and Maggie's new obsessions may be more than just memory loss as they become a dangerous and deadly threat to the city and each other."
3375441,Apollo 18,2011,"In the early 70's, Commander Nathan Walker, Captain Ben Anderson and Lieutenant Colonel John Grey are assigned in a secret mission to the Moon to protect the USA from USSR using detectors. Nathan and Ben land on the Moon in the Liberty module while John stays in orbit in the module Freedom. They collect rock samples and bring them to the Liberty. They also find footprints and the body of a Soviet cosmonaut on the moon. Soon they hear weird noises and they find that they are not alone in the satellite."
3375746,Apparition,2009,"Anne is determined to find a place to call home, but she soon discovers that New York City's realty market is satiated with sleazy brokers, strange roommates and scary dwellings. Even the perfect place she eventually finds has a secret of its own."
3375747,Apparition,2009,"A young couple go on an afternoon hike in the woods, only to find that they are lost. As night falls, they stumble upon an abandoned cabin and take shelter there for the night. But is this cabin really abandoned? Did they really just stumble upon it? Or were they led to it?"
3375749,Apparition,2010,"Every town has one. The place you warn your kids about, the place where unexplained things happen, the place that's haunted. This east Texas town is no different. Southbrook hospital sits empty and has been that way since the riot in 1986. With the sale of the property pending, the buyers want peace of mind. Enter Eradication, Inc. Damon (Josh Pack), Jared (Joe Moore), Rowan (Eva Marcus), Kristin (Survivor's Natalie Bolton) and Ellie (Sydney Fergerson) are the most sought after Ghost Hunters in Texas and are about to enter Southbrook. Is Southbrook all legend or is there a darker evil lurking in the halls."
3379244,Arise,2009,Factory worker Thanatos returns from his lunch break to find the factory where he works is overrun by zombies. Fortunately he is a zombie survivalist and he must use his skills to reach his girlfriend and daughter who are trapped somewhere in the factory.
3383308,As Night Falls,2010,"10 year old Amelia's parents think it's time for her to go to sleep permanently, leaving her broken body in a silent shallow grave. 50 years later, Mommy and Daddy are back from hell, intent on wreaking the same deadly discipline on anyone not in bed by nightfall. Sisters Holly and Elizabeth are losing their minds, and their friends are losing their heads. Something evil has crashed the party, but no-one knows what they are fighting. When the girl's brother, Charlie, arrives, he completes the family group and the kids start to find out what firm parenting really means."
3383531,As Though Dead,2011,We have pretended that it couldn't happen again but it has happen before and it will happen again. Do you believe? Is your faith strong enough? And are you close enough to him? The end is near and the rapture process has started and during this event the wrath of God will be revealed and the faith of others will be tested. Michael is a down and out sales person tired of going from job to job. He involves his friends in a plot to make a fake documentary. Jenni the local preacher's daughters let's Michael and his friends use the church late one night to film his fake documentary about a guy named Mr. Johnson seeing Jesus. A unexpected guest comes to the church and reveals something terrible is happening. It appears that people are killing each other and the first stage of the end of the world has started. They must come together in the church and take sides before each of them get taken one by one but during the rapture process the soul is pulled from the body and the soulless body attacks the closest person to them in search of a soul but the question is what one person believes is the rapture process could be something terrible. The future of our society is put in the hands of a few but they must find the faith and courage it takes to save what's left.
3384394,Ashes,2010,The cure is worse than the disease. An earnest young doctor working on a cure for AIDS unwittingly invents an aggressive new bacteria that deteriorates the body and induces a thirst for blood. Now he must stop the infection before it turns him and everyone he loves into the walking dead.
3386546,Assault of the Evil Meteor,2008,"Deep in the Texas woods there lives a domesticated Sasquatch, a hard of hearing blind man, Kabe, and resident doofus, Kleedus. Their lives are disrupted when a strange and mysterious meteor crash lands not far from them. Kleedus investigates the crash and becomes Zombo, a vomiting creature bent on turning others into his visage. It's up to Sasquatch and Kabe to save the day."
3387570,Asylum,2008,"The teenager Madison McBride is traumatized by the loss of her deranged father when she was nine years old and the suicide of her beloved brother Brandon one year ago. She decides to join the Richard Miller University, where Brandon committed suicide, to overcome her demons. While walking to her dorm, she meets the weird janitor Wilbur Mackey that tells her that the place is haunted. Madison befriends the recovering drug addicted Holt; the geek outcast String; the sexually abused Ivy and Maya; and the joker athlete Tommy. All the schoolmates have traumas and the veteran Rez is responsible for them. String discovers in Internet that in 1935, their dorm together with an attached abandoned section was an asylum administrated by Dr. Magnus Burke and considered a safe refugee for troubled teenagers with state-of-art treatment. However, in 1939, the interns uprose against the insane doctor, killing and disclosing the truth about his treatment. Sooner they find that their dorm is haunted by Dr. Burke that is seeking for tortured souls."
3387975,At Midnight,2008,"An unexplainable series of deaths have been occurring in Los Angeles, CA. All of the victims have been between the ages of 12 and 18 years of age. Urban legends and media reports tell of a mysterious dark figure that has been seen at some of the crime scenes. One young man discovers the terrifying truth that Death Waits No Longer."
3389129,"Atlanta, Day One",2009,"Atlanta, Day One is a dialogue-less, audiovisual journey through a post-apocalyptic landscape - that was constructed out of found locations around Atlanta, Georgia. Featuring a single protagonist, it is an adventure simultaneously real and surreal."
3390013,Attack of the Moon Zombies,2011,"Twenty years have passed since Dr. Vincent Edwards (once again played by the ever-talented Michael Cook) took on a certain radiation-mutated bat creature and he is ready to retire. While training his replacement on the Jackson Lunar Base, the two stumble upon a seemingly impossible discovery: alien plant life on the surface of the moon! Unfortunately, exposure to the spores of this otherworldly flora cause instant death. Too bad those killed by them don't stay dead and instead, want nothing more than to replicate!"
3390044,Attack of the Vegan Zombies!,2010,"Joe and his wife Dionne have had yet another bad crop for their winery. Faced with the prospect of losing the family farm, Dionne convinces her mother (a witch) to cast a spell upon next year's crop. The crop is such a success that Joe hires some college students to help them harvest. However, when a nosy neighbor begins poking around in the fields, he finds out more than he bargained for. Now the question isn't how to best harvest the crop, it's how to keep from being harvested!"
3393401,Autopsy,2008,"In Louisiana, while driving on the State Route 53, Emily has a car accident. Her boyfriend Bobby and their friends Clare, Dmitriy and Jude find that she had hit a stranger. When they see an ambulance on the road, they ask for help and the attendants bring them to the Mercy Hospital. The nurse Marian asks Bobby to go to the exam room. When Emily tries to get information about her boyfriend, she meets Dr. David Benway that tells her the Bobby is all right. But sooner Emily unravels a dark city about Dr. Benway and his team."
3397270,B.F.F,2011,"Raven Rellik & Anna Setib are going through what they consider to be the most important year of their high school lives...SENIOR YEAR! Not only do they have the everyday problems of most seventeen year old girls, they are also under the constant pressures of maintaining a certain status and reputation among their peers! To make matters worse, both girls have recently been told that getting BRACES is a ""requirement"" for them to achieve their goals! Realizing braces are a sure way to destroy their popularity among fellow students, the girls go and visit an Orthodontist to see about concealing their new and unwanted dental jewelry. Constantly shooting for perfection, Raven & Anna will do anything to make sure that they are liked by everyone...however they are about to make more of an 'impression' on the folks of Canales, FL and Greene High School than even they ever imagined!"
3399167,Babysitter Wanted,2008,"The religious teenager Angie Albright moves to a small town to study Art History in college. She finds a weird roommate and befriends the student and former altar boy Rick. Angie decides to babysit to raise money to buy a bed and she finds an advertisement to work at the distant Stanton Farm in the countryside. She is welcomed by Jim Stanton and his wife Violet that are seeking a babysitter for their son Sam and they make arrangements for Friday night. Meanwhile Angie has the sensation that someone is stalking her and she goes to the police station and reports to Chief Dinneli. On Friday night, Angie's car breaks and Rick gives a ride to Angie to go to the farm. When she is alone with Sam, a stranger breaks in the farmhouse and Angie saves Sam from the man. Soon she learns that she is in the house of evil and nothing is like she thought it would be."
3401013,Bad Biology,2008,"A warped love story about a fashion photographer with an mutated sex organ who meets a man with a truly magnificent tool. Jennifer (Charlee Danielson) is a shutterbug who specializes in edgy imagery. Her sex drive is always in the red, and she likes to ride bareback. She's also prone to killing her lovers during intense bouts in the bedroom. When she gets pregnant - which happens quite frequently - her rapid metabolism causes her to birth malformed infants in a matter of minutes. Sexually frustrated by the fact that she can't find a man who can truly please her, she is elated when she happens across Batz (Anthony Sneed), a man who keeps his monstrous organ under control by injecting it with lethal amounts of animal tranquilizers. He too has been having a rather difficult time finding a compatible mate, but when these two get together it's a match made in mutant heaven."
3401853,Bad Roommate,2009,A young man finds himself a victim of an unwelcome house guest/new Roommate. When Louis receives a creepy doll in an unmarked package he assumes it's one of his friends messing with him. The joke quickly becomes unfunny when the doll appears in a different place then where he left it with alarming frequency. When he throws the doll away and it still ends up in his room he confronts his actual roommate who professes no knowledge of the doll's strange movements. When more drastic attempts to get rid of the doll bear no fruit he cuts it up and burns it. A few moments later when he steps into the house it is there again and during his complete breakdown his actual tormentor is revealed to the audience.
3401952,Bad to the Jones,2011,During a zombie outbreak in the MidWest zombie slayers Craig and Tyrone Jones desperately search for their missing sister only to be harassed by the thousands of blood hungry zombies. Their mission slowly turns comedic when the 2 brothers argue about who is the better slayer of the 2. The journey lands them 4 outsiders who are asked to join the team in a desperate mission to save a life.
3402766,Baghead,2008,"Four struggling actors retreat to a cabin in Big Bear, California in order to write a screenplay that will make them all stars. Problem is: What happens when their story idea -- a horror flick about a group of friends tormented by a villain with a bag over his head -- starts to come true?"
3403830,Baker's Mound,2011,"An east Texas underground casino owner calls on a savvy gun-for-hire, who uses his intended target, a young drifter, to get caught up on his employer's invoices. Predator and prey develop a convenient friendship as circumstances spiral out of control and into a dark conclusion."
3406643,Bane,2010,"Strangers with unique and conflicting personalities find themselves trapped together in an abandoned building. In the middle of an apocalypse, as the dead walk the earth, their differences prove to be almost as deadly as the monsters outside."
3407429,Banquet of Blood,2009,"Nanette and Adam visit San Francisco for a romantic getaway. They decide to stay at a cozy bed and breakfast, The Belvedere House. What they find in that house is pure evil! Private investigator Macy, in search of two missing women, senses the evil at Belvedere House. Can Macy fend off the dark forces and find the missing women before it's too late? Can Nanette save Adam from a fate worse than death? The Blood Moon Cult invite you to a feast. Evil is served."
3407465,Banshee!!!,2008,"A group of college friends on a spring break camping trip are stalked and slashed by an unknown creature with the ability to make them hallucinate through sound waves. The survivors hold up refuge in an isolated farmhouse, cut off from all communication. Now, they have to come up with a plan to kill this unrelenting creature before it kills them. ""Banshee!!!"" takes the idea of the legendary Irish myth and spins it around into a terrifying and unstoppable monster!"
3407923,Barackula: The Musical,2008,Barackula is a short political horror rock musical about young Barack Obama having to stave off a secret society of vampires at Harvard when he was inducted into presidency at the Harvard Law Review in 1990. Obama finds that he must convince the vampire society that opposing political philosophies can coexist or else the society may transform Obama to the dark side.
3408184,Barbe Visage,2008,A barber reeks havoc in a nightmarish short film produced and directed by Justin Bunnell and Mark Covino. Made in Vermont with the help of cinematography masters Derek Hallquist and Michael Fisher! Be sure to watch the shocking nightmare of a man loosing his prized possession!
3413800,Be Still,2011,"The central theme is intrusion. It is night and a house is broken in to. We find out what is going on inside his head while he invades an innocent suburban home. We see the intruder examining the victim's personal objects, and disturbing the cozy peace of the house. While all of this is going on, the intruder himself allows the audience to peek inside his mind as he works."
3414286,Bear,2010,"Two young couples are driving through a remote forest when their car breaks down. When a run-in with a curious grizzly bear ends up with the bear being shot to death, the bear's mate arrives on the scene and vengefully attacks their van. The couples are trapped inside the disabled car and must come up with clever ways to survive. As they battle the surprisingly intelligent creature, and contemplate their uncertain fate, secrets begin to emerge that threaten to tear the group apart before the bear does."
3414569,Beast Beneath,2011,"This is based on a true tale. A large ranch, now known as Griffith Park in Los Angeles, belonged to Don Antonio Feliz in 1861. The Don's best friend and a greedy attorney stole the property by orchestrating an illegal will at the Don's deathbed. After unsuccessfully contesting the will in court, the Don's blind neice, Petranilla, invokes a curse that remains to the present day. Angelina Feliz, a descendant of the Don, finds a map showing a hidden treasure underneath Griffith Park. A terrifying creature guards the treasure deep in a cave. Those who come close to the cave meet an untimely, bloody death."
3414594,Beast of Burden,2009,"Wally is having a tough time. He's broke, he's depressed, and he just found out that he's been fired from his job. Oh, and he's a giant lizard monster. When Jake (Jack Lance) tells Wally that he's no longer afraid of him, it's up to Wally's friend Chet, a rock-a-billy vampire, and the rest of his motley crew of ghouls to rally around their friend and try to bring him out of his slump. But, is Chet really looking out for Wally or does he have an agenda of his own? A tale of growing up, moving on, and what it really means to be scary."
3415082,Beau,2011,"A neurotic middle-aged man's trip (to visit his mother) is delayed indefinitely when his keys are mysteriously taken from his door. He is subsequently haunted by an increasingly sinister chain of upsetting events. (Although it is not made apparent in the film, it should be said that Beau once used a Ouija board.)"
3416725,Bedfellows,2008,"It is only a few minutes before one in the morning, and the happy young couple of Rachel and Danny is sound asleep. As a matter of fact, in the sanctuary of the dimly-lit bedroom, nothing seems to be able to disturb their profound and balmy sleep, when suddenly, the rude and repetitive noise of an incoming call ruptures the stillness of the night. Who could that be at this hour? And why is Danny as stiff as a corpse?"
3417134,Beep,2010,"A weary traveler checks into a luxurious hotel hoping to get a much needed good night's rest. When a mysterious sound wakes him up in the middle of the night, his frustration forces him to investigate, and in an ominous room at the end of the hall our sleep-deprived traveler finds something more terrifying than anything he could have ever expected."
3417552,Before Mirrors,2010,"Lois, an attractive young woman, seeks escape and solace from a brutal existence. She meets Frank, a dark, introspective figure, and tempts him. As much as Frank longs for insight into his own existence and to emit a true reflection, he also seeks the warmth of a young girl's flesh. As the seduction grows and Frank's restraint diminishes, the two travel on a journey across emotions from the sensual to the horrific, leading to her ultimate fate: a shocking, dark new life; peace and fulfillment; or a void of nothingness and nonexistence."
3417872,Beg,2011,"Jack Fox, a burnt out detective, is being forced into early retirement, as the worst serial killer since the Boston Strangler begins a killing spree through the streets of Salem. When detective Steve Ryan moves to town with his family, Jack is torn between a life of retirement and sanity or helping rookie detective Ryan in his quest to solve these killings that are haunting the people of Salem."
3419183,Behind the Wall,2008,"Maine coastal town Harrison Bay is broke, so deputy mayor Drew Cabot arranges a deal with a contractor to develop the abandoned lighthouse for tourism. Father Hendry fails to convince the town council to veto the project. He also invited, sneakily, Katelyn Parks, who was foster-raised out of state after her father Christopher was locked-up for her mother's murder there. Once the basement is broken open, new bloodshed starts, and the horrible truth about the past is slowly unveiled."
3419251,Behind Your Eyes,2011,"Young couple Erika and Steven have the world going for them as they embark on a weekend retreat to meet Steven's parents. Things take a turn for the worst when the couple is unexpectedly kidnapped and held hostage. Now, it's a fight for their lives against their mysterious abductor and the secrets he possesses. As he tortures and teases them, secrets from the past emerge and change everything. When Erika escapes, things only get worse, and the twists and turns take the viewer into uncharted territory and unyielding mayhem."
3419268,Behold,2010,"The Mourningside team deliver a macabre family tale. Ellie (Lakis) must struggle to come to grips with reality. All the time being stalked by someone, or something. Will her brother Anthony (Baker) be able to save her from certain peril? Or will she fall into the arms of death?"
3419606,Being Constance,2009,"In a once lovely and productive suburb, a young woman struggles not to disappear in the fast-changing face of the city she loves. Self-affirming reminders of poise and presentation keep her going as disappearances and violence shock the community, some in which she plays a part. She focuses on preventing drastic changes to her city, but recurring dreams may be telling her to focus on her own impending fate."
3420736,Belle Nouveau,2010,"Belle Nouveau is a surreal exploration of post-humanism and the power that technology holds over women. The focus is on transformation and self-image, exploring the perverse desires that are derived from obsessing over advancements in the constantly changing ideal beauty. Submission to fascination turns into internal disgust with the stagnant mediated female image."
3420886,Belligerent Moose vs. The Army of Flesh Eaters,2010,"Belligerent Moose, a punk band from Cleveland kicks out there drug addict drummer. In a twist of fate, the former drummer finds the Necronomicon and res-erects the dead. Now Belligerent Moose must fight through hordes of the undead to make their next gig."
3421208,Below the Surface,2011,"Hanna just moved to her best friend's house after being living by her self, she used to suffer anxiety and panic attacks. That night her friend and boyfriend went out to dine out with an old friend and she stays home alone on the night. Where did she go?"
3421896,Beneath the Darkness,2011,"In Smithville, Texas, the teenagers Brian, Abby, Travis and Danny are classmates of the Smithville High School and best friends. One day, they are reading Macbeth for a class and they decide to investigate the rumors that the house of the mortician Ely Vaughn is haunted by ghosts. They see shadows in the upper window and they break in the house to see what is happening and they see a corpse lying on the bed; however, they are surprised by Ely that kills Danny, pushing him to fall off the staircase. Nobody believes in the teenagers since Ely is a respectable citizen, but Travis and Abby decide to prove that the undertaker is a psychopath. Will they be successful in their intent?"
3422711,Berdella,2009,"Bob Berdella who originated from Ohio, moved to Kansas City in the 1960s to enroll at the KC Art Institute. Shortly after his move to Kansas City, Berdella purchased a house on 4315 Charlotte Ave. This house would serve as the grounds for some of the most bizarre acts of torture and mutilation ever performed. Bob Berdella was very active in his local community. He was in charge of the Hyde Park Neighborhood Coalition for many years, was a cook for many restaurants in KC, even worked with the local news stations in organizing numerous charities and auctions. Berdella was also notable for his work mentoring troubled youths, and was even assigned as the probation officer to many of these teens. In the end Bob was known for his shop, at the Westport Flea Market, ""Bob's Bazaar Bizarre"". It was here at this shop that many people met and interacted with Berdella. His shop was setup like any normal flea market, but his taste of goods were different than the rest of the merchants at Westport Flea Market. Bob had real human skulls, witchcraft and occult books, jewelry, knives and swords, and practically anything that would be classified as bizarre. Berdella, after his arrest, was known for keeping precise notes on his torture and killing methods. Investigators found these notebooks under his mattress with over 1,000 Polaroid pictures taken of his victims at various stages of their torture. The evidence was overwhelming and Bob eventually admitted to 6 murders between the years of 1984-1988."
3422738,Bereavement,2010,"In 1989, the boy Martin Bristol has congenital insensitivity to pain with anhidrosis (CIPA), a rare neural disorder, in which the patient does not feel pain, heat or cold. He is abducted by the deranged serial-killer Graham Sutter (Brett Rickaby) and brought to the Sutter Meat & Poultry, an abandoned meat-packing plant in Minersville, Pennsylvania, where Graham slaughters young women that he kidnaps. Five years later, the stubborn seventeen year-old teenager Allison Miller loses her parents and moves to her uncle Jonathan Miller's house near the decrepit plant. Jonathan, his wife Karen and their little daughter Wendy welcome Allison, but the teenager does not give much attention to her new family. Allison likes to run alone on the road and she passes by the meat-packing plant and then she meets the mechanic William ""Billy"" and has a crush on him. Jonathan advises Allison to avoid running near the old factory and Billy, who is a problematic teenager. Allison does not listen to her uncle and brings tragedy to the Miller family."
3424916,Bethlehem Road,2011,"Every small town has a scary story. A story parents tell their kids to keep them from venturing too far from the comforts of home. A story that teenage girls whisper during the late-night hours at slumber parties. With growing up comes reality, and childish stories are forgotten for years. In this particular small town, someone is determined to remind the locals that 'Bethlehem Road' is not a place you want your children to wander off to."
3425759,Between Heaven and Hell,2010,"Ben Harkin has the perfect life. A loving wife, wonderful kids. However, on this day, with an ominous storm approaching, Ben will have to face his ultimate fear and lose the ones he loves one at a time. Will he uncover the dark secret that is taking his family piece by piece or will he be doomed to find what lies between heaven and hell"
3426363,Beware,2010,"The town of Shady Grove holds many dark secrets. Amongst those secrets is the sadistic tale of ""Shane"", a boy who was tortured and chained to a tree as a youngster. Legend has it that for years he survived in the woods all alone until one day he managed to escape. Now, damaged and broken, he wanders those woods in search of blood, with his trademark chains fused to his wrists. Despite years of tales and urban myths, no proof of his existence has ever been discovered, until five unsuspecting teens reveal the truth on an ill-fated trip."
3427232,Beyond the Dunwich Horror,2008,"Kenny Crawford arrives in Dunwich after hearing that his brother Andrew has been admitted to a psychiatric ward, and is suspected in a string of disappearances in the town. With the help of local reporter Marsha Calloway and the eccentric Upton Armitage he probes the last few weeks of his brother's life. As they do so, they uncover evidence of a plot in the works revolving around Andrew, his girlfriend Nikki Hartwell and her twisted friend Otto Bellinger."
